name,population,region,GDP
Lithuania,2797338.0,Europe,84869215513.0
Albania,2751025.0,Europe,27177735528.0
Gabon,2647399.0,Africa,20867044936.0
Botswana,2603388.0,Africa,19400774882.0
Lesotho,2389336.0,Africa,2271541846.0
Guinea-Bissau,2297808.0,Africa,2119865935.0
Slovenia,2114573.0,Europe,72485008929.0
Equatorial Guinea,1984468.0,Africa,12765777677.0
Latvia,1835935.0,Europe,43520773851.0
North Macedonia,1804063.0,Europe,16685236492.0
Bahrain,1675572.0,Asia,47736702128.0
Trinidad and Tobago,1513268.0,Latin America,26428963758.0
Timor-Leste,1436923.0,Asia,1881265333.0
Cyprus,1382334.0,Asia,36333022329.0
Estonia,1331062.0,Europe,42764929169.0
Eswatini,1269859.0,Africa,4891883720.0
Mauritius,1265059.0,Africa,14952555415.0
Djibouti,1199459.0,Africa,4086402719.0
Fiji,937282.0,Oceania,5840564073.0
Comoros,899010.0,Africa,1546164420.0
Solomon Islands,858288.0,Oceania,1760767447.0
Guyana,840890.0,Latin America,24835899826.0
Bhutan,802214.0,Asia,3147000000.0
Luxembourg,687448.0,Europe,93197329012.0
Suriname,645256.0,Latin America,4714267822.0
Montenegro,626233.0,Europe,8069536126.0
Malta,549011.0,Europe,24322006608.0
Maldives,531517.0,Asia,6975146349.0
Cabo Verde,529630.0,Africa,2767599017.0
Brunei,469775.0,Asia,15463134387.0
Belize,428644.0,Latin America,3515783329.0
Bahamas,404628.0,Latin America,15832800000.0
Iceland,402329.0,Europe,33462807983.0
Vanuatu,342564.0,Oceania,1161251868.0
Barbados,282724.0,Latin America,7165000000.0
Sao Tome & Principe,244994.0,Africa,764274043.0
Samoa,220528.0,Oceania,1068025244.0
Saint Lucia,180488.0,Latin America,2549062963.0
Kiribati,138445.0,Oceania,307862547.0
Seychelles,134959.0,Africa,2167239562.0
Grenada,117362.0,Latin America,1391435993.0
Micronesia,114183.0,Oceania,471425099.0
Tonga,103291.0,Oceania,646000000.0
St. Vincent & Grenadines,99245.0,Latin America,1157207407.0
Antigua and Barbuda,94626.0,Latin America,2224814815.0
Andorra,83753.0,Europe,4039844390.0
Dominica,65511.0,Latin America,688881481.0
Saint Kitts & Nevis,46992.0,Latin America,1066681481.0
Liechtenstein,40368.0,Europe,8465000000.0
Monaco,38087.0,Europe,9995350547.0
Marshall Islands,35075.0,Oceania,280357844.0
San Marino,33605.0,Europe,2086000000.0
Palau,17614.0,Oceania,322000000.0
Nauru,12101.0,Oceania,160350640.0
Tuvalu,9362.0,Oceania,56000000.0
Holy See,506.0,Europe,0
Taiwan,23011292.0,China,801495000000.0
Hong Kong,7378602.0,China,407106738445.0
Puerto Rico,3222688.0,U.S.,125841500000.0
Réunion,886298.0,France,0
Macao,723188.0,China,50183212761.0
Western Sahara,610813.0,(disputed),0
Guadeloupe,372453.0,France,0
Mayotte,347536.0,France,0
Martinique,337711.0,France,0
French Guiana,318872.0,France,0
New Caledonia,297892.0,France,10139988153.0
French Polynesia,283076.0,France,6402221222.0
Curaçao,185440.0,Netherlands,3281419347.0
Guam,170185.0,U.S.,6910000000.0
Aruba,108164.0,Netherlands,4285000000.0
Isle of Man,84055.0,U.K.,7431257411.0
U.S. Virgin Islands,83400.0,U.S.,4672000000.0
Cayman Islands,77196.0,U.K.,7139428558.0
Bermuda,64459.0,U.K.,8980200000.0
Faeroe Islands,56526.0,Denmark,3907323961.0
Greenland,55629.0,Denmark,3326544174.0
Turks and Caicos,47148.0,U.K.,1745378000.0
American Samoa,45319.0,U.S.,871000000.0
Sint Maarten,44447.0,Netherlands,1735210228.0
Northern Mariana Islands,42914.0,U.S.,1096000000.0
